Name,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews
China House,London,Chinese,4427,3.5,$$ - $$$,109,"Good food average service, Unassuming from the outside but good food..., 12/14/2017, 09/24/2017"
Rullos,London,"Italian, Mediterranean, European, Vegetarian Friendly, Gluten Free Options",4428,4,$$ - $$$,110,"Little Gem, nice surprise, 06/11/2017, 03/09/2017"
Damascus Bite,London,"Lebanese, Mediterranean, Middle Eastern, Vegetarian Friendly, Halal, Vegan Options",4429,4.5,$$ - $$$,78,"Delicious wraps, Excellent place, 12/17/2017, 07/09/2017"
Marks & Spencer,London,"Cafe, British, Delicatessen, Vegetarian Friendly, Gluten Free Options",4430,4,$,165,"Respite from shopping, Lovely lunch, 11/11/2017, 11/06/2017"
Chalet Ciro 1952,London,"Italian, Cafe, Delicatessen, Vegetarian Friendly",4431,4.5,$$ - $$$,25,"Ottime sfogliatelle !, Best ice cream in London and possibly in..., 01/08/2018, 12/28/2017"
Bengal Brasserie - Hither Green,London,"Indian, Asian, Balti, Eastern European, Bangladeshi, Vegetarian Friendly",4432,4.5,$$ - $$$,44,"great food, Wonderful Food. A little gem of a place!, 12/01/2017, 11/30/2017"
Pan And Grill,London,"Mediterranean, Steakhouse, Seafood, Vegetarian Friendly",4433,4.5,$$ - $$$,27,"Great food, Great food friendly service, 10/03/2017, 09/27/2017"
Four Seasons Chinese Restaurant - Chinatown,London,"Chinese, Asian, Vegetarian Friendly",4434,3.5,$$ - $$$,1421,"Really average roast duck.., Tasty but pricey, 01/07/2018, 01/06/2018"
The Social,London,"Mediterranean, Spanish, European, Vegetarian Friendly, Gluten Free Options",4435,4,$$ - $$$,85,"Good experience, Lovely experience, 12/02/2017, 11/14/2017"
Zen Modern Japanese Cuisine,London,"Japanese, Sushi, Asian, Vegetarian Friendly",4436,4.5,$$ - $$$,19,"A quick meal, Delicious food!! Great service will defini..., 11/04/2017, 09/19/2017"
BrewDog Clerkenwell,London,"Bar, Pub",4437,4.5,$$ - $$$,40,"Good food, great beer, Great afternoon setting the world to right..., 01/07/2018, 12/27/2017"
Dirty Dicks Pub,London,"Bar, British, Pub",4438,3.5,$$ - $$$,281,"Old Family Favorite Pub, Good food but flat beers, 01/05/2018, 12/14/2017"
Bella Mia,London,"Italian, Pizza, Vegetarian Friendly",4439,4.5,$$ - $$$,187,"Great Wee Find, Uninspiring Exterior but Lovely Restaurant, 07/10/2017, 05/29/2017"
Nandos,London,"European, Portuguese, Vegetarian Friendly",4440,3.5,$$ - $$$,251,"Convenient & tasty, but noisy & busy, Food fresh and hot, 12/19/2017, 11/28/2017"
Nandos Stratford,London,"Fast Food, European, Portuguese, Halal, Vegetarian Friendly",4441,4,$$ - $$$,212,"Good, Nice place., 09/13/2017, 09/11/2017"
Red Pepper,London,"Italian, Pizza, Vegetarian Friendly, Gluten Free Options",4442,4,$$ - $$$,225,"Great pizza from a wood-fired oven, Excellent pizzas, 11/20/2017, 11/13/2017"
Jose Pizarro,London,"Spanish, Mediterranean, Gluten Free Options",4443,4,$$ - $$$,180,"Great food, friendly service, at a price, Excellent tapas restaurant, great for glut..., 10/11/2017, 09/13/2017"
Tang Noodle Bar,London,"Chinese, Asian, Soups, Vegetarian Friendly",4444,4.5,$$ - $$$,33,"Great for veggies or vegans, Great for Vegans, Gluten free and meat eat..., 12/06/2017, 09/21/2017"
Poppies Fish & Chips,London,"Seafood, Fast Food",4445,4.5,$,29,"very good fish and chips, Good fish and chips, 06/11/2017, 05/08/2017"
28-50 Fetter Lane,London,"European, Wine Bar, Gluten Free Options",4446,4,$$ - $$$,151,"Good food, Good food and service. Very good wine lis..., 08/10/2017, 07/12/2017"
Byron Finchley Road,London,"American, Vegetarian Friendly",4447,4,$$ - $$$,93,"Deserves its high praise, Great burgers! Big, juicy and satisfied. G..., 11/14/2017, 10/05/2017"
Cheddar Deli,London,"Irish, British, Welsh, Scottish, French, Vegetarian Friendly",4448,5,$$ - $$$,16,"The best, The very best...support support support, 09/06/2017, 09/06/2017"
Azmar Restaurant,London,"Mediterranean, Middle Eastern, Vegetarian Friendly, Halal, Vegan Options",4449,4.5,,40,"Wonderful, Delightful, 11/29/2017, 10/31/2017"
The Cafe in the Garden,London,"Cafe, European, Vegetarian Friendly",4450,4,$$ - $$$,110,"Delightful italian cafe, Good coffee stop, 12/11/2017, 11/09/2017"
Ekachai - Liverpool Street,London,"Asian, Thai, Malaysian, Vegetarian Friendly, Gluten Free Options",4451,3.5,$$ - $$$,195,"Rushed service..maybe it was the time of d..., Good place for lunch, 01/04/2018, 12/28/2017"
Town Of Ramsgate,London,"Bar, British, Pub",4452,4,$,110,"Lovely pub, Lovely little pub, 12/04/2017, 12/04/2017"
O Neills,London,"Pub, Gastropub, Bar, Vegetarian Friendly",4453,4,$,35,"Friendly pub close to the station, Whats not to like £5 for a full breakfast, 12/23/2017, 10/05/2017"
Nandos Hammersmith,London,"Fast Food, European, Portuguese",4454,3.5,$$ - $$$,167,"Average chicken meal, Not a nice meal, 12/14/2017, 11/28/2017"
The Beehive,London,"Bar, British, Pub, Vegetarian Friendly",4455,4,$$ - $$$,146,"Beautifully run!!, Helpful, smiling staff, great beers if a b..., 10/30/2017, 09/21/2017"
Eat Tokyo,London,"Japanese, Sushi, Asian, Vegetarian Friendly, Vegan Options, Gluten Free Options",4456,4,$$ - $$$,69,"authentic Japanese cuisine with big portio..., Great value Japanese, 11/07/2017, 08/04/2017"
The Green Room Bar & Eatery,London,"Bar, British, Pub, European, Vegetarian Friendly",4457,5,$$ - $$$,16,"Great Sunday Lunch, ""Perfect Birthday Dinner - couldnt have as..."", 01/07/2018, 12/14/2017"
Paladar,London,"Latin, Contemporary, Mexican, Peruvian, South American",4458,5,$$ - $$$,13,"Excellent food and great staff, Just Superb!, 01/08/2018, 01/08/2018"
Lamb & Flag,London,"Bar, British, Pub, Vegetarian Friendly",4459,3.5,$$ - $$$,197,"Lunch Upstairs in the Dining Room, Drinks, 12/25/2017, 12/19/2017"
La Rueda - Clapham,London,"Mediterranean, Spanish, Vegetarian Friendly, Gluten Free Options",4460,4,$$ - $$$,146,"Nice tapas, good service, Coped well with a group, 08/13/2017, 08/03/2017"
Cilicia Cafe & Restaurant,London,"Mediterranean, Middle Eastern, Turkish, Vegetarian Friendly, Gluten Free Options",4461,4,$$ - $$$,145,"Tasty tasty tasty, Great food, 01/02/2018, 11/13/2017"
The Garden,London,"Mediterranean, Italian, Wine Bar, Vegetarian Friendly",4462,5,$$ - $$$,38,"A gem in West Norwood, I salute you, 07/10/2017, 06/08/2017"
Workshop Coffee,London,"Cafe, Contemporary, Fusion, Vegetarian Friendly, Gluten Free Options",4463,4,$$ - $$$,207,"Great artisan coffee, Great for brunch and coffee, 04/18/2017, 04/11/2017"
Thai Crystal,London,"Asian, Thai, Vegetarian Friendly, Gluten Free Options",4464,4,$$ - $$$,147,"Good Thai food, Gem of a place., 12/31/2017, 11/26/2017"
Little Portland Cafe,London,"Cafe, British, Vegetarian Friendly",4465,4.5,$,46,"Excellent fry up, Good start to the day, 01/07/2018, 10/16/2017"
Falafel,London,"Lebanese, Fast Food, Middle Eastern, Vegetarian Friendly, Vegan Options, Halal",4466,4.5,$,22,"New favourite place, Just great, 01/02/2018, 11/11/2017"
The Willow Walk Pub,London,"Bar, British, Pub, Vegetarian Friendly, Gluten Free Options",4467,3.5,$,324,"Slightly annoyed..., quite good for a large pub, 01/07/2018, 12/13/2017"
Ranya Restaurant,London,Mediterranean,4468,5,$,11,"Fantastic food at very reasonable prices, Lovely place and friendly staff, 12/21/2017, 11/12/2017"
BANG BANG Oriental Food Hall,London,"Chinese, Japanese, Fast Food, Sushi, Asian, Thai, Korean, Taiwanese, Malaysian, Vegetarian Friendly",4469,3.5,,124,"Wide choice of Oriental cuisine, Worth a try, 01/03/2018, 12/26/2017"
Wing Yip Superstore,London,"Chinese, Asian",4470,4,$$ - $$$,62,"Perfectly acceptable, Wing Yip supermarkey, 11/02/2017, 10/29/2017"
Bake Haus,London,"Cafe, Fast Food, Vegetarian Friendly",4471,4.5,$,31,"lovely, Nice food on low budget, 01/06/2018, 11/19/2017"
Los Dos Amigos Limited,London,"Pizza, International, European, Vegetarian Friendly",4472,4.5,$$ - $$$,43,"Great breakfasts, Perf, 05/28/2017, 04/28/2017"
Barbican Conservatory,London,British,4473,4.5,$$ - $$$,34,"Magical indoor rainforest, Great!, 12/29/2017, 12/22/2017"
Pret A Manger,London,"Soups, Cafe, Fast Food, Vegetarian Friendly, Vegan Options, Gluten Free Options",4474,4.5,$,76,"Tasty food for a great price, Fresh sandwiches and staff who really care..., 11/27/2017, 10/01/2017"
Al Arez,London,"Lebanese, Mediterranean, Middle Eastern, Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",4475,3.5,$$ - $$$,337,"Amazing Food, Amazing food, but service can be improved, 01/07/2018, 12/10/2017"
The Junction Tavern,London,"Bar, British, Pub, Vegetarian Friendly",4476,4,$$ - $$$,148,"New year lunch, Nice lunch, 01/04/2018, 06/28/2017"
Pizza Hut,London,"Italian, Pizza, Fast Food, Vegetarian Friendly, Gluten Free Options",4477,4,$$ - $$$,170,"Pizza Hut Dinner After Trainers Shopping, Works for me., 09/19/2017, 08/09/2017"
Fernandez & Wells,London,European,4478,4,$$ - $$$,157,"Great place for a late bite, fun night, 11/06/2017, 09/12/2017"
The Golden Lion,London,"Bar, British, Pub",4479,4.5,$$ - $$$,104,"Very friendly; convenient; delicious food, Surprising Dining Invitation, 11/15/2017, 09/17/2017"
Byron,London,American,4480,4,$$ - $$$,96,"Amazing way to spend National Burger Day, Byron is as Byron does...., 09/19/2017, 06/25/2017"
Custom House Pub,London,"Bar, British, Pub",4481,3.5,$$ - $$$,163,"nice, Good service and tasty food, 12/30/2017, 11/28/2017"
Trio Pizzeria,London,"Italian, Pizza, Mediterranean, Seafood, Wine Bar, Vegetarian Friendly, Vegan Options, Gluten Free Options",4482,4.5,$$ - $$$,50,"A family treat in Streatham, Pizza made same my mom, 12/17/2017, 10/20/2017"
Apulia Cafe Ltd,London,"Italian, Cafe, Delicatessen, Mediterranean, European, Vegetarian Friendly",4483,5,$$ - $$$,14,"More than just a cafe!, Stunning Italian in Camden, 11/15/2017, 10/10/2017"
Ariana Afghan & Persian,London,"Middle Eastern, Persian, Afghani, Vegetarian Friendly, Halal",4484,4,$$ - $$$,138,"Meat + Shisha, Love this place, 11/28/2017, 09/07/2017"
Purple Bar at Sanderson,London,"American, British, Bar, Contemporary",4485,4.5,$$$$,84,"Very romantic!, ""One of Londons best bars"", 01/07/2018, 11/19/2017"
Savini at Criterion (The Criterion),London,"Italian, Vegetarian Friendly, Vegan Options, Gluten Free Options",4486,3.5,$$$$,481,"Great looks, dull food, Beautiful decor with average food, 12/30/2017, 12/30/2017"
Wok on Fire,London,"Chinese, Asian, Fusion, Fast Food, Vegetarian Friendly, Vegan Options",4487,4,$,61,"Good and tasty quick meal, Handy place, 10/30/2017, 10/15/2017"
The Globe,London,"Bar, British, Pub, Vegetarian Friendly",4488,3.5,$$ - $$$,267,"Good for game watching, Mixed reaction, quaint elements, good food, 12/27/2017, 12/06/2017"
Wheatsheaf,London,"Bar, British, Pub, Grill",4489,4,$$ - $$$,113,"Lovely food, great drinks, Great place for a drink, 10/19/2017, 09/01/2017"
Adriatico Bacari di Venezia,London,"Italian, Pizza, European, Grill, Vegetarian Friendly",4490,4,$$ - $$$,62,"Good place for a business lunch, Stick to mains, 01/03/2018, 10/07/2017"
Beagle Restaurant,London,"British, Vegetarian Friendly, Vegan Options",4491,4,$$ - $$$,258,"Beagle treats, Thoroughly enjoyable meal., 11/18/2017, 10/17/2017"
The Porchester,London,"Bar, British, Pub",4492,4,$$ - $$$,91,"Rugby, Pub lunch, 11/11/2017, 10/20/2017"
Au Lac - Highbury,London,"Asian, Vietnamese, Vegetarian Friendly",4493,4,$$ - $$$,90,"Good value Vietnamese, Great quality Vietnamese food, 07/30/2017, 06/21/2017"
Highams Lounge,London,"Cafe, Vegetarian Friendly, Vegan Options",4494,5,,18,"Delicious breakfast, Local Cafe, 01/01/2018, 11/06/2017"
Lahore Central,London,"Indian, Asian, Pakistani, Vegetarian Friendly, Halal",4495,4.5,$$ - $$$,18,"Brilliant, unforgiving Pakistani Food, Delicious food!, 01/06/2018, 01/01/2018"
Sushi Bar Atariya Ealing Common,London,"Japanese, Sushi, Asian",4496,4.5,$$ - $$$,67,"Quality sushi, friendly service, Great sushi but service off-key, 11/08/2017, 11/05/2017"
The Old Suffolk Punch,London,"Bar, British, Pub",4497,4.5,$$ - $$$,61,"Great pub, superb staff, A good meeting place, 09/17/2017, 09/17/2017"
Cinnamon Tree,London,"Indian, Asian, Vegetarian Friendly",4498,4,$$ - $$$,126,"Traditional English Indian, Unassuming hidden gem in a street full of..., 10/07/2017, 10/02/2017"
The Indian Dining Club,London,"Indian, Asian, Vegetarian Friendly, Vegan Options",4499,4.5,$$ - $$$,63,"Not your typical Indian restaurant, Great food on our doorstep, 12/15/2017, 10/03/2017"
The Lord Tredegar,London,"Bar, British, Pub, Vegetarian Friendly, Gluten Free Options",4501,4,$$ - $$$,78,"Good food and atmosphere, Good roast lovely pub, 11/05/2017, 11/01/2017"
The Bengal Lancer,London,"Indian, Asian, Bangladeshi, Vegetarian Friendly, Vegan Options, Halal",4502,4,$$ - $$$,113,"Great food, hit & miss service, A great dinner, 08/19/2017, 08/01/2017"
Star & Garter - London,London,"Bar, British, Pub",4503,4,$$ - $$$,77,"60th Birthday Party, Perfect party venue, 10/31/2017, 09/20/2017"
Camden Pizza Co.,London,"Italian, Pizza, Vegetarian Friendly",4504,4.5,$,13,"Great!, Camden Gem, 10/27/2017, 10/26/2017"
Green House Restaurant,London,"European, Vegetarian Friendly",4505,5,$$$$,35,"As good as it gets, Amazing, 05/31/2017, 02/06/2017"
Ole Navarro,London,"European, Spanish, Mediterranean, Vegetarian Friendly, Vegan Options",4506,4.5,$$ - $$$,49,"Wonderful, Just a great little place, 11/05/2017, 10/20/2017"
Spaghetti House - Westfield,London,"Healthy, Italian, Pizza, Mediterranean, Vegetarian Friendly, Gluten Free Options, Vegan Options",4507,4,$$ - $$$,361,"Seafood pasta, Al dente ? Not !, 11/22/2017, 11/21/2017"
LEtranger,London,"French, European, Fusion, Vegetarian Friendly, Gluten Free Options",4508,4,$$$$,273,"Business Meeting: excellent, Our first visit and we were not disappoint..., 11/01/2017, 09/13/2017"
Bottega Prelibato,London,"Italian, Mediterranean, European, Vegetarian Friendly, Gluten Free Options",4509,4,$$ - $$$,214,"Great food, not that attentive staff, Real Italy, 12/28/2017, 11/10/2017"
Ikeda,London,"Japanese, Sushi, Asian, Vegetarian Friendly",4510,4.5,$$$$,86,"Great food and service, Excellent Japanese fare, 09/11/2017, 07/04/2017"
The Conservatory at the Montague,London,"British, Gluten Free Options",4511,4.5,$$ - $$$,79,"Garden Terrace, Afternoon Tea, 08/21/2017, 07/12/2017"
Franco Manca,London,"Italian, Pizza, Vegetarian Friendly, Vegan Options",4512,4,$$ - $$$,58,"Great pre-theatre lunch, A solid option with a small menu that seem..., 11/25/2017, 11/08/2017"
Books for Cooks,London,"British, Vegetarian Friendly",4513,4.5,$,59,"Foody paradise!, Great local place to eat shhh dont tell ev..., 01/03/2018, 12/08/2017"
Divan,London,"Turkish, Middle Eastern, Mediterranean, Barbecue, Halal, Vegetarian Friendly",4514,4.5,$,58,"Very good meal, Good, 11/20/2017, 11/07/2017"
Royal Nepalese,London,"Indian, Asian, Nepali, Vegetarian Friendly, Vegan Options",4515,4.5,$$ - $$$,44,"came really late but felt welcomed anyway, excellent food and service, 10/31/2017, 09/21/2017"
Bayswater Arms,London,"British, Bar, Pub",4516,3.5,$$ - $$$,472,"London trip, Nice Pub, 01/03/2018, 12/27/2017"
The Chelsea Cellar,London,"Italian, Mediterranean, European, Wine Bar, Vegetarian Friendly, Vegan Options, Gluten Free Options",4517,5,$$ - $$$,51,"Seriously- a hidden gem!, Great restaurant for locals, 12/08/2017, 11/11/2017"
Ginger and White,London,"Cafe, British, Gluten Free Options, Vegetarian Friendly, Vegan Options",4518,4,$$ - $$$,84,"Lovely, again, Great coffee, 10/17/2017, 10/02/2017"
Richoux,London,"Cafe, European, British, Vegetarian Friendly, Gluten Free Options, Vegan Options",4519,3.5,$$ - $$$,530,"Nice atmosphere, Pop in for a Pick-Me-Up, 01/05/2018, 01/04/2018"
Viet Hoa Cafe & Mess,London,"Asian, Vietnamese, Cafe, Seafood, Soups, Vegetarian Friendly",4520,3.5,$$ - $$$,99,"May soon petty... but, Great food and service, 12/20/2017, 11/04/2017"
Bull in a China Shop,London,"Bar, Gluten Free Options",4521,4,$$ - $$$,98,"Good brunch despite being empty at lunch t..., Whiskey Treat, 09/30/2017, 07/28/2017"
Pixxa,London,"Italian, Pizza, Fast Food, Vegetarian Friendly",4522,4,$,34,"Pizza by the slice, Good Pizza place, 05/20/2017, 05/15/2017"
Chimichanga,London,"Mexican, Vegetarian Friendly",4523,3.5,$$ - $$$,251,"Lunch, Not worth the prices, 12/12/2017, 11/19/2017"
Jamies Italian,London,"Italian, Vegetarian Friendly, Vegan Options, Gluten Free Options",4524,3.5,$$ - $$$,1931,"4 minutes from Sadlers Wells Theatre, good food but..., 01/03/2018, 12/29/2017"
Tong Kanom,London,"Asian, Thai, Vegetarian Friendly",4525,4.5,$,57,"Friendly little restaurant with loads of v..., Mr John, 12/10/2017, 11/03/2017"
Varanasi Chefs,London,"Indian, Asian, Balti, Vegetarian Friendly, Gluten Free Options, Vegan Options, Halal",4526,4.5,$$ - $$$,156,"Good food for the price, Yummy, 12/23/2017, 11/22/2017"
Golden Dragon,London,"Chinese, Asian, Vegetarian Friendly",4527,3.5,$$ - $$$,1352,"Nice evening with kids on the last day of..., An Annual Favourite, 01/06/2018, 12/31/2017"
Taksim Meze Grill & Bar,London,"Mediterranean, Turkish, European, Middle Eastern, Vegetarian Friendly, Halal",4528,4.5,$$ - $$$,33,"Fantastic, Fantastic, 01/07/2018, 01/04/2018"
Indian Fusion,London,"Indian, Asian, Vegetarian Friendly, Vegan Options",4529,4,$$ - $$$,215,"Rajasthan Lal Mirch (lamb), Our first Indian meal at London, 12/10/2017, 10/13/2017"
Arancini Brothers Factory,London,"Fast Food, Australian, Italian, Cafe, Vegetarian Friendly, Vegan Options, Gluten Free Options",4530,4.5,$,108,"Local tasty food, Amazeballs!, 12/02/2017, 10/13/2017"
Konnigans,London,"British, International, Vegetarian Friendly, Gluten Free Options",4531,3.5,$$ - $$$,202,"Family dinner, Saturday Brunch, 12/30/2017, 12/19/2017"
"Smiths of Smithfield, Cannon Street",London,"Steakhouse, British, European",4532,4,$$ - $$$,42,"Competent Steak, Nice place for lunch or dinner, 12/07/2017, 12/02/2017"
Hoppers St Christophers Place,London,"Sri Lankan, Vegetarian Friendly, Vegan Options, Gluten Free Options",4533,4,$$ - $$$,65,"Very delicious food., Good food in small portions after a wait, 01/04/2018, 12/31/2017"
Valentina Fine Foods,London,"Italian, Mediterranean, Pizza, Vegetarian Friendly, Gluten Free Options",4534,4,$$ - $$$,162,"Brilliant.....we used to go 6 years ago an..., Special menu good, 11/28/2017, 07/10/2017"
Indiana Restaurant,London,"Indian, Asian, Vegetarian Friendly, Halal",4535,4.5,$$ - $$$,78,"Good Indian restaurant, Late Dinner, great service, 11/30/2017, 09/08/2017"
The Queens Pub,London,"British, Pub, Vegetarian Friendly",4536,4,$$ - $$$,87,"Good food, Nice pub with traditional features, 11/26/2017, 11/06/2017"
Buster Mantis,London,"Caribbean, Jamaican, Vegetarian Friendly",4537,4.5,$$ - $$$,19,"Perfection, Nothing less than five stars, 10/29/2017, 10/02/2017"
Gourmet Burger Kitchen,London,"American, Vegetarian Friendly, Gluten Free Options",4538,4,$$ - $$$,146,"Great burgers, Veggie Burger, 12/16/2017, 11/30/2017"
Moshi Moshi,London,"Japanese, Sushi, Vegetarian Friendly, Gluten Free Options",4539,4,$$ - $$$,114,"Great quality but a little on the expensiv..., Always nice, 01/04/2018, 09/29/2017"
The Rising Sun Pub,London,"Pub, Bar, British, Vegetarian Friendly",4540,4.5,$$ - $$$,49,"Great pub, Lovely, 12/14/2017, 12/03/2017"
Pelt Trader,London,"Pizza, Pub, Bar, International",4541,4.5,$$ - $$$,42,"Good little hidden venue, selling no mains..., Usefully Location for the City, 12/15/2017, 10/29/2017"
The Narrowboat,London,"Bar, British, Pub, Gastropub, Vegetarian Friendly, Gluten Free Options",4542,3.5,$$ - $$$,225,"Average food and service, My favourite roast in London, 12/18/2017, 11/19/2017"
Cwtch,London,"Fast Food, Cafe",4543,4.5,$,45,"Best coffee, service and food ever!!, Great coffee limited veggie food, 10/14/2017, 09/29/2017"
Legs Restaurant,London,"European, British, Vegetarian Friendly",4544,4.5,$$ - $$$,17,"Incredible food and wine to match, OMG YUM......., 01/05/2018, 12/22/2017"
The Bull & The Hide,London,"Bar, British, Pub, Vegetarian Friendly",4545,4,$$ - $$$,92,"Price rip off or obliging staff?, Surprised, 09/25/2017, 03/23/2017"
Toprak Ocakbasi,London,"Turkish, Middle Eastern, Mediterranean, Barbecue, Vegetarian Friendly, Halal",4546,4.5,$$ - $$$,25,"Good food for good price, Consistently great food, 10/17/2017, 08/18/2017"
Copita Del Mercado,London,"Mediterranean, Spanish",4547,4.5,$$ - $$$,88,"Tapas., Very Bad & Very Expensive, 10/09/2017, 04/25/2017"
woburn tandoori,London,"Asian, Bangladeshi, Indian, Vegetarian Friendly, Vegan Options",4548,4,$$ - $$$,163,"Great experience!, Cozy restaurant on a Victorian style pedes..., 10/02/2017, 10/01/2017"
Cut and Grind Burgers,London,"American, British",4549,4.5,$$ - $$$,15,"Great burger and Beer!, Totally delicious!, 12/23/2017, 12/22/2017"
Upstairs,London,"British, European, Spanish, Vegetarian Friendly",4550,4.5,$$ - $$$,23,"A great location serving super food and wi..., Great food, good atmosphere relaxed and fu..., 11/07/2017, 09/29/2017"
Richoux,London,"British, European, Vegetarian Friendly, Gluten Free Options",4551,3.5,$$ - $$$,231,"Pleasant Brasserie, An old-fashioned coffee shop, 12/23/2017, 11/02/2017"
Woodlands,London,"Indian, Grill, Healthy, Street Food, Vegetarian Friendly, Vegan Options, Gluten Free Options",4552,4,$$ - $$$,247,"Vegeterian Indian restaurant, Well worth a visit, 12/06/2017, 11/10/2017"
Nicos Acropolis Taverna,London,"Mediterranean, Greek, Vegetarian Friendly",4553,4.5,$$ - $$$,60,"Amazing restaurant, Great food and service, 01/07/2018, 12/06/2017"
Hopscotch,London,"International, Bar, Spanish, Pub, Vegetarian Friendly",4554,4.5,$$ - $$$,22,"Fantastic... and better than next door!, Superb food, 01/05/2018, 12/03/2017"
"AGAH - Anatolian Turkish Cuisine, Grill and Bar",London,"Barbecue, Turkish, Middle Eastern, Mediterranean, Vegetarian Friendly, Halal, Vegan Options",4555,4,$$ - $$$,71,"Very good turkish food, Largest Platter of Meat Ever, 10/11/2017, 09/19/2017"
Lo Spuntino-Cafe Espana Restaurant,London,"Cafe, European",4556,4,$,61,"Good full English for 7£, Excellent customer service., 09/02/2017, 07/08/2017"
Nutbourne Battersea,London,"British, Healthy, Barbecue, Vegetarian Friendly, Vegan Options, Gluten Free Options",4557,4,$$ - $$$,63,"Just a great atmosphere, Better Every Visit, 12/22/2017, 11/23/2017"
St Martin-in-the-Fields Cafe in the Courtyard,London,"Cafe, British, Vegetarian Friendly",4558,4,$$ - $$$,45,"Outdoor business meeting, Quiet location, good coffee, 08/23/2017, 07/22/2017"
Taylor Walker,London,"Bar, British, Pub",4559,3.5,$$ - $$$,400,"""Didnt care for it"", Great Value, Great Fish and Chips, 10/03/2017, 07/20/2017"
Planet Organic,London,"Cafe, Healthy, Vegetarian Friendly, Vegan Options, Gluten Free Options",4560,4.5,$$ - $$$,67,"Kind and charming staff!, What a Find!, 10/18/2017, 07/27/2017"
Mandarin Street,London,"Chinese, Asian, Vegetarian Friendly",4561,4,$$ - $$$,47,"Good dinner, Atmosphere and sharinng, 11/15/2017, 08/25/2017"
Wagamama,London,"Japanese, Asian, Vegetarian Friendly, Vegan Options, Gluten Free Options",4562,4,$$ - $$$,90,"Always Good food, You know what you are getting, 12/15/2017, 10/06/2017"
The Brasserie at The Cumberland,London,"British, French, European, Gluten Free Options",4563,4,$$ - $$$,166,"Just a drink, EARLY THEATRE DINNER, 07/21/2017, 06/22/2017"
The Windsor Castle,London,"Bar, British, Pub, International, Gastropub, Vegetarian Friendly, Gluten Free Options",4564,4,$$ - $$$,227,"A really good pub !, Nice beer garden., 08/12/2017, 07/16/2017"
Fan Museum,London,British,4565,4,$$ - $$$,33,"Charming and different, Something different to see in Greenwich, 09/03/2017, 08/13/2017"
The Fulham Wine Rooms,London,"European, Wine Bar, Vegetarian Friendly",4566,4,$$ - $$$,155,"Love this place for a quick drink!, Service much improved, 09/01/2017, 05/31/2017"
MENOO ECLECTIC FOODS,London,"Mediterranean, Greek, Vegetarian Friendly, Vegan Options",4567,5,$,24,"Great find in Kensington, lovely food, 07/22/2017, 04/10/2017"
K10,London,"Japanese, Sushi, Asian, Vegetarian Friendly",4568,4.5,$$ - $$$,104,"Excellent and deservedly busy, ""Best sushi Ive had from a takeaway place..."", 09/19/2017, 07/11/2017"
Khanage Indian Restaurant,London,"Indian, Asian, Balti, Vegetarian Friendly, Halal, Vegan Options",4569,4,$$ - $$$,155,"Great Food, Great value and good quality, 11/08/2017, 08/24/2017"
Holy Pitta Yeeros House,London,"Fast Food, Mediterranean, Greek, Vegetarian Friendly",4570,4.5,$,28,"Good food but poor service, Very nice Greek fast food, 12/24/2017, 12/22/2017"
Yuzu,London,"Japanese, Asian, Sushi, Vegetarian Friendly, Vegan Options",4571,4.5,$$ - $$$,22,"Stylish restaurant with imaginative food, Exceptional, 12/02/2017, 10/11/2017"
Pan Chai,London,"Japanese, Sushi, Asian, Vegetarian Friendly",4572,4,$$$$,66,"Good experience and expensive, Great quality but slightly overpriced, 12/02/2017, 02/13/2017"
Nabrasa Express,London,"Brazilian, Barbecue, South American, Halal",4573,4.5,$$ - $$$,27,"Wonderful Brazilian BBQ, Good quality Brazilian food, 12/06/2017, 11/04/2017"
Tortilla,London,"Mexican, Fast Food, Vegetarian Friendly, Vegan Options, Gluten Free Options",4574,4,$,94,"Overall good value for money for casual Me..., Nice, 12/04/2017, 11/06/2017"
The Plough & Harrow,London,"Bar, British, Pub, Vegetarian Friendly",4575,4,$,142,"Good solid pub food, Fair, 12/21/2017, 12/02/2017"
The Stormbird,London,Pub,4576,4.5,$$ - $$$,36,"Always fun., Massive selection of beers!, 01/03/2018, 12/15/2017"
The India Club Restaurant,London,"Indian, Asian, Vegetarian Friendly",4577,3.5,$,240,"Very Cheap For Central London, The End of An Era, 12/30/2017, 12/18/2017"
Gremio De Brixton,London,"Mediterranean, European, Spanish, Vegetarian Friendly",4578,4,$$ - $$$,157,"Beautiful meal, Good food and party mood, 12/03/2017, 11/23/2017"
Spaghetti House,London,"Italian, Pizza, Mediterranean, Vegetarian Friendly",4579,4,$,44,"Good value italian, Reasonably priced, 05/29/2017, 01/22/2017"
The Orchard,London,"British, Vegetarian Friendly, Gluten Free Options, Vegan Options",4580,4,$$ - $$$,156,"Love this place, Good atmoshere, 11/02/2017, 08/23/2017"
The Castle,London,"Bar, British, Pub, International, Gastropub",4581,4,$$ - $$$,55,"Good pub with great service, Friendly staff and good Pub Food, 11/08/2017, 08/15/2017"
Cafe Dylan Dog,London,"Cafe, British, Vegetarian Friendly",4582,4,$,67,"Our first English breakfast, Jacket My Potato Any Day Of The Week !!, 10/11/2017, 08/15/2017"
